country_name,country_code,dem_vdem,rle_vdem,prop_vdem,fh_cl,fh_pr,rle_wb,dem_polity,area,pop,pop_rural,gini,nat_resources,gdp_pc.1995,region,educ,conflict,elec_access,life_exp,gdp_pc
Mexico,MEX,0.649,0.504,0.73,3,3,-0.447,8,1965660.69,121858258,25242937,NA,2.178293329,7390.714716,2,8.48,0,99.5,74.917,9751.569083
Suriname,SUR,0.801,0.725,0.804,3,2,-0.195,5,145952.274,559143,189793,NA,5.586345553,6012.840555,2,NA,0,95.90665436,71.358,8628.855726
Sweden,SWE,0.898,0.99,0.91,1,1,2.038,10,444337.592,9799186,1317697,29.2,0.296501285,34648.11892,5,11.85,0,100,82.30731707,51955.86107
Switzerland,CHE,0.888,0.994,0.895,1,1,1.945,10,41475.571,8282396,2176779,32.3,0.010788837,67394.97161,5,12.71,0,100,83.60243902,85570.39606
Ghana,GHA,0.736,0.578,0.813,2,1,0.142,8,240585.52,27849205,12786683,NA,10.89419915,954.4414309,4,5.61,0,79.3,63.124,1723.943452
South Africa,ZAF,0.713,0.703,0.806,2,2,0.088,9,1224585.797,55386367,19480494,NA,2.738260301,4662.396855,4,7.88,0,84.2,63.153,5673.393455
Japan,JPN,0.816,0.958,0.877,1,1,1.519,10,371862.3,127141000,10958283,NA,0.028211418,30171.16379,6,13.15,0,100,83.98487805,35264.81336
Burma/Myanmar,MMR,0.374,0.423,0.355,5,6,-1.237,2,670372.095,52680726,36951313,38.1,6.481487634,226.0822217,6,5.7,0,55.6,66.205,1201.966471
Russia,RUS,0.267,0.159,0.876,6,6,-0.764,4,16827198,144096870,37393138,37.7,10.04341165,4862.642272,1,9.61,0,100,71.65121951,11356.40004
Albania,ALB,0.547,0.557,0.748,3,3,-0.328,9,28680.714,2880703,1226200,32.9,1.621620436,1488.020491,1,NA,0,99.89,78.194,4090.363323
Egypt,EGY,0.198,0.274,0.276,5,6,-0.601,-4,1002473.978,92442547,52891004,31.8,4.178824435,2185.302175,3,7.72,0,100,71.482,3638.894927
Yemen,YEM,0.179,0.058,0.355,6,7,-1.271,0,456146.699,26497889,17282713,NA,2.105148678,2163.525442,3,NA,1,68.9187088,66.087,1415.839376
Colombia,COL,0.711,0.7,0.71,4,3,-0.268,7,1142725.713,47520667,9616282,51,3.678660325,4118.628027,2,7.604,0,98.4,76.732,6219.149691
